member_casual,day_of_week,avg_ride,rides
casual,Sunday,26.43208240549921,359693
casual,Monday,22.255143718356035,241134
casual,Tuesday,19.940817839841262,231068
casual,Wednesday,19.17721979837969,235175
casual,Thursday,20.09887134985292,264158
casual,Friday,22.51572669210363,323233
casual,Saturday,25.951807519473874,423017
member,Sunday,13.45032305911501,400126
member,Monday,11.601994779212008,514916
member,Tuesday,11.677170334912772,560877
member,Wednesday,11.587981324413148,552751
member,Thursday,11.705088807752073,564690
member,Friday,12.054378434948958,521247
member,Saturday,13.262277435724185,453910
